lon,lat,transmission_efficiency_weighted,temp_mean,rh_mean,vegetation_index,ruggedness,hfp,ndvi_mean,veg_height_avg
-180,51,-0.8492703684705739,277.87628,,-1.4443121231883818,0.2365,,0.16578,0.0
-180,65,-0.8830052067425159,267.00671,79.65,-2.2912933441268653,1.51186,3.66697,-0.077521,0.59
-180,66,-0.893727608379932,264.24536,79.28,-1.931082249032459,20.26333,2.09235,-0.05924,6.01
-180,67,-0.8920030210423913,262.65829,77.98,-1.9921783694403463,16.93779,0.28659,-0.053617,4.51
-180,68,-0.8856543372100609,262.35913,79.97,-2.1813328982706888,16.46124,1.49211,-0.053845,1.04
-179,51,-0.847143804568666,277.85443,,-1.2298189591615434,1.63651,,0.22515,0.0
-179,65,-0.901859154990646,267.13751,76.85,-2.2246536503378214,1.04753,0.87015,-0.050663,0.03
-179,66,-0.9006049225717899,264.47263,79.49,-2.1336779232887024,17.7744,0.7884,-0.056278,2.08
-179,67,-0.9043226922314284,263.04034,78.73,-1.6447056624030056,13.75982,2.62997,-0.047575,10.51
-179,68,-0.8895103739593136,263.36523,80.0,-2.1767162582136974,4.8412,1.63815,-0.042502,0.37
-178,-30,-0.8124003365627076,292.65283,,0.6078422819072022,0.1713,,0.7338,0.0
-178,51,-0.8493340825404958,277.99356,83.4,-0.9756787009452064,1.73277,,0.295494,0.0
-178,65,-0.9016462610934337,266.65198,79.03,-2.19518358144199,8.29669,0.07292,-0.049867,0.52
-178,66,-0.899695982144345,263.93805,81.15,-2.1787959175493152,20.67454,0.00812,-0.048636,0.74
-178,67,-0.8997677032135779,263.76697,79.78,-1.3202599852420107,7.73332,0.64993,-0.038142,15.86
-178,68,-0.8897244816096198,263.87622,80.24,-2.1531705617408905,0.49712,0.6941,-0.037487,0.47
-177,-45,-0.8585222053956241,284.89972,76.54,0.5822273832555214,0.47437,,0.72671,0.0
-177,-44,-0.8646825039955708,285.52328,,0.3965211744411783,0.30757,,0.675308,0.0
-177,51,-0.8485225586556128,278.00983,83.27,-0.7410476744240845,4.05582,,0.360438,0.0
-177,52,-0.8475846659377995,277.79297,,-1.6709696544592556,0.87829,,0.103043,0.0
