Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Abeillia abeillei,Abeillia abeillei,,,,,
Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,,,
Abroscopus schisticeps,Abroscopus schisticeps,,,,,
Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris,Abroscopus superciliaris,,,
Aburria aburri,Aburria aburri,,,,,
Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,,,
Acanthidops bairdii,Acanthidops bairdi,,,,,
Carduelis hornemanni,Acanthis hornemanni,,,,,
Acanthisitta chloris,Acanthisitta chloris,,,,,
Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis,Acanthiza apicalis,,,
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,,,
Gerygone cinerea,Acanthiza cinerea,,,,,
Acanthiza ewingii,Acanthiza ewingii,Acanthiza ewingii,Acanthiza ewingii,,,
Acanthiza inornata,Acanthiza inornata,,,,,
Acanthiza iredalei,Acanthiza iredalei,,,,,
Acanthiza katherina,Acanthiza katherina,Acanthiza katherina,Acanthiza katherina,,,
Acanthiza lineata,Acanthiza lineata,Acanthiza lineata,Acanthiza lineata,,,
Acanthiza murina,Acanthiza murina,,,,,
Acanthiza nana,Acanthiza nana,,,,,
Acanthiza pusilla,Acanthiza pusilla,Acanthiza pusilla,Acanthiza pusilla,,,
Acanthiza reguloides,Acanthiza reguloides,Acanthiza reguloides,Acanthiza reguloides,,,
Acanthiza robustirostris,Acanthiza robustirostris,,,,,
Acanthiza uropygialis,Acanthiza uropygialis,Acanthiza uropygialis,Acanthiza uropygialis,,,
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,,,,,
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,,,
Acanthornis magna,Acanthornis magna,,,,,
Accipiter albogularis,Accipiter albogularis,,,,,
Accipiter badius,Accipiter badius,,,,,
Accipiter brachyurus,Accipiter brachyurus,,,,,
Accipiter brevipes,Accipiter brevipes,,,,,
Accipiter butleri,Accipiter butleri,,,,,
Accipiter castanilius,Accipiter castanilius,,,,,
Accipiter cirrocephalus,Accipiter cirrocephalus,,,,,
Accipiter cooperii,Accipiter cooperii,,,,,
Accipiter erythrauchen,Accipiter erythrauchen,,,,,
Accipiter erythropus,Accipiter erythropus,,,,,
Accipiter fasciatus,Accipiter fasciatus,,,,,
Accipiter francesiae,Accipiter francesiae,,,,,
Accipiter gentilis,Accipiter gentilis,,,,,
Accipiter griseiceps,Accipiter griseiceps,,,,,
Accipiter gularis,Accipiter gularis,,,,,
Accipiter gundlachi,Accipiter gundlachi,,,,,
Accipiter haplochrous,Accipiter haplochrous,,,,,
Accipiter henicogrammus,Accipiter henicogrammus,,,,,
Accipiter henstii,Accipiter henstii,,,,,
Accipiter imitator,Accipiter imitator,,,,,
Accipiter luteoschistaceus,Accipiter luteoschistaceus,,,,,
Accipiter madagascariensis,Accipiter madagascariensis,,,,,
Accipiter melanochlamys,Accipiter melanochlamys,,,,,
Accipiter melanoleucus,Accipiter melanoleucus,,,,,
Accipiter meyerianus,Accipiter meyerianus,,,,,
Accipiter minullus,Accipiter minullus,,,,,
Accipiter nanus,Accipiter nanus,,,,,
Accipiter nisus,Accipiter nisus,,,,,
Accipiter ovampensis,Accipiter ovampensis,,,,,
Accipiter poliocephalus,Accipiter poliocephalus,,,,,
Accipiter poliogaster,Accipiter poliogaster,,,,,
Accipiter princeps,Accipiter princeps,,,,,
Accipiter rhodogaster,Accipiter rhodogaster,,,,,
Accipiter rufitorques,Accipiter rufitorques,,,,,
Accipiter rufiventris,Accipiter rufiventris,,,,,
Accipiter soloensis,Accipiter soloensis,,,,,
Accipiter tachiro,Accipiter tachiro,,,,,
Accipiter trinotatus,Accipiter trinotatus,,,,,
Accipiter trivirgatus,Accipiter trivirgatus,,,,,
Accipiter virgatus,Accipiter virgatus,,,,,
Aceros nipalensis,Aceros nipalensis,,,,,
Achaetops pycnopygius,Achaetops pycnopygius,,,,,
Acridotheres albocinctus,Acridotheres albocinctus,,,,,
Sturnus burmannicus,Acridotheres burmannicus,,,,,
Acridotheres cinereus,Acridotheres cinereus,,,,,
Acridotheres cristatellus,Acridotheres cristatellus,Acridotheres cristatellus,Gracula cristatella,Acridotheres cristatellus,,
Acridotheres fuscus,Acridotheres fuscus,,,,,
Acridotheres ginginianus,Acridotheres ginginianus,,,,,
Sturnus melanopterus,Acridotheres melanopterus,,,,,
Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,,,
Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai,Acrobatornis fonsecai,,,
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,,,,,
Acrocephalus agricola,Acrocephalus agricola,Acrocephalus agricola,Sylvia agricola,Acrocephalus agricola,,
Acrocephalus atyphus,Acrocephalus atyphus,,,,,
Acrocephalus australis,Acrocephalus australis,Acrocephalus australis,Acrocephalus australis,,,
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,,,
Acrocephalus brevipennis,Acrocephalus brevipennis,,,,,
Acrocephalus concinens,Acrocephalus concinens,,,,,
Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,,,
Acrocephalus familiaris,Acrocephalus familiaris,,,,,
