species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Abroscopus_albogularis,0.4265101027872047,0.0002195793052645931,0.5326360318416142,8.079364464282724e-15,0.022480928331136546,0.0020214111281393787,9.841561019186544e-16,0.01613194660663121,48,7,Scotocercidae_(Bush_Warblers_and_Allies),2.0,0.0,2.0,0.0,4.84,9.0,2.7,2.3,13.3,Oscines
Abroscopus_superciliaris,0.31089224726414894,0.6127029868705028,0.031069558610886984,0.03481209167969244,0.00010243198850683969,0.009602020474111093,5.237895702719949e-05,0.0007662841551230096,32,8,Scotocercidae_(Bush_Warblers_and_Allies),2.0,0.0,2.0,0.0,6.48,12.3,3.1,2.8,12.7,Oscines
Acanthagenys_rufogularis,0.2196594498647798,0.1113556662787522,0.01919266202956062,0.0647401985287731,0.024724819162090118,0.29083655397354574,0.21321426744747926,0.05627638271501938,94,20,Meliphagidae_(Honeyeaters),3.0,1.0,3.0,0.0,47.8,25.7,3.7,5.0,23.2,Oscines
Acanthis_flammea,7.247069424739284e-17,5.350422263950754e-08,0.013165294287280967,0.02425704299634301,0.4417225226542915,0.001924351559131543,0.16505781735421796,0.35387291764451223,40,5,"Fringillidae_(Finches,_Euphonias,_and_Allies)",3.0,0.0,2.0,1.0,13.0,11.4,4.5,6.5,33.1,Oscines
Acanthiza_apicalis,0.00017899944945867514,0.28314008142388697,0.02083388959409173,0.11649702774464381,0.038530204243597946,0.0988339674094044,0.3766941515268896,0.06529167860802702,34,6,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,2.0,0.0,7.62,11.0,2.2,2.6,14.2,Oscines
Acanthiza_chrysorrhoa,2.9344212066914568e-05,0.052953235647934596,0.01771416678286572,0.0998069570022561,7.054300912812453e-05,0.13599090030083555,0.6662178446467497,0.027217008398162924,49,10,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,9.29,11.7,2.1,2.5,15.6,Oscines
Acanthiza_ewingii,0.14175459591565562,0.16266045825297512,0.041895363852960575,0.10273599564121158,0.005756062775616389,0.3391521580680938,0.12117448094477333,0.08487088454871335,19,5,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,2.0,0.0,6.9,10.7,1.9,2.5,16.3,Oscines
Acanthiza_katherina,4.0346592996086274e-10,0.07201445610856798,2.6253197550867908e-05,0.8382378229986355,3.4630796112498465e-08,8.942880996250605e-07,0.08971936745589636,1.170916987626115e-06,14,5,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,7.2,11.5,2.4,2.6,17.6,Oscines
Acanthiza_lineata,3.354254342400455e-19,6.030055010624882e-05,0.0007704287716128816,0.2943634255968513,0.5177811641114057,0.00017505273851259646,0.12297521452534903,0.06387441370616317,16,2,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,6.85,9.9,2.1,2.8,19.1,Oscines
Acanthiza_pusilla,0.00855390866693643,0.1736763674706621,0.16629916806407927,0.1940520414795309,0.05212837604690186,0.10917910064883658,0.1950181758348472,0.10109286178820509,76,18,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,1.0,7.62,11.2,2.1,2.6,14.6,Oscines
Acanthiza_reguloides,1.1447440664588608e-14,0.0013835109049867129,0.4067960718360001,0.3931553727405244,0.017536380958111414,0.007179946023384266,2.681670338348217e-05,0.17392190083359796,5,1,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,7.7,11.0,2.2,2.6,14.0,Oscines
Acanthiza_uropygialis,1.133523672020509e-06,0.1391397701100848,0.005178261073361189,0.07229719762623119,0.0003189154704175288,0.21513803497177547,0.567711914144786,0.00021477307967208954,66,9,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,6.4,10.2,2.0,2.3,15.0,Oscines
Acanthorhynchus_tenuirostris,0.06747320850486004,0.06905033954189321,0.028453556568414893,0.5276409546336076,0.0007098647276027084,0.07961422501701437,0.21383259318191256,0.013225257824694702,54,12,Meliphagidae_(Honeyeaters),3.0,0.0,2.0,0.0,10.44,26.8,2.3,2.7,20.6,Oscines
Acridotheres_cristatellus,5.929946502219177e-16,5.760195540446529e-05,0.8333383505899107,0.11395256753212755,5.290531440064397e-07,8.539337617554581e-08,0.052650003000441065,8.62475595241559e-07,12,2,Sturnidae_(Starlings),3.0,0.0,1.0,0.0,116.31,27.1,6.1,8.1,24.1,Oscines
Acridotheres_tristis,0.00046595506323980266,0.0696425433428665,0.0030057477633938126,0.13465368746822606,0.22397208647568945,0.12203321992453502,0.43564080109729036,0.010585958864758313,24,8,Sturnidae_(Starlings),3.0,1.0,1.0,0.0,116.43,26.8,6.4,8.0,23.6,Oscines
Acritillas_indica,7.406889862146318e-07,0.7050841990640642,4.02619635935675e-13,7.444858387890855e-23,1.0519460699898751e-10,0.2949142817130718,7.674112453077959e-07,1.1017036060521067e-08,4,1,Pycnonotidae_(Bulbuls),3.0,0.0,2.0,NA,30.6,20.1,4.8,4.9,15.7,Oscines
Acrobatornis_fonsecai,1.062933849810605e-11,3.718664514336952e-07,5.106896430589609e-06,0.3818399232454907,2.753013090955466e-06,0.25184770407404306,0.3644112939423913,0.0018928469514744785,3,2,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,1.0,3.0,0.0,13.7,10.4,3.0,3.6,21.2,Non-Oscines
